"","text"
"1","#PRESUPUESTO2020YA !!!"
"2","Por el Pueblo, para el más necesitado, para los derechos de un pueblo...

PRESUPUESTO YA! @AsambleaSV
@AsambleaSV

 #PRESUPUESTO2020YA https://t.co/YWWPTZEOS5"
"3","La DIÁSPORA apoyando a nuestra gente y al Presidente!!! <U+0001F1F8><U+0001F1FB><U+0001F499>
Exigimos que aprueben el presupuesto YA!! 
El Pueblo ya despertó y no nos van a parar ni callar!! 
<U+0001F1F8><U+0001F1FB><U+0001F44A><U+0001F3FB><U+0001F1F8><U+0001F1FB>

@ravelpak 
@AsambleaSV 
@rodolfo_parker
@norman_quijano 

#PRESUPUESTO2020YA

cc @nayibbukele https://t.co/92AycnXrQ1"
"4","La DIÁSPORA apoyando a nuestra gente y al Presidente!!! <U+0001F1F8><U+0001F1FB><U+0001F499>
Exigimos que aprueben el presupuesto YA!! 
El Pueblo ya despertó y no nos van a parar ni callar!! 
<U+0001F1F8><U+0001F1FB><U+0001F44A><U+0001F3FB><U+0001F1F8><U+0001F1FB>

@ravelpak 
@AsambleaSV 
@rodolfo_parker
@norman_quijano 

#PRESUPUESTO2020YA

cc @nayibbukele https://t.co/KoBNPP80JL"
"5","#PRESUPUESTO2020YA https://t.co/vZYWTGDzqZ"
"6","Así es Alma, hoy no quitaremos los dedos del teclado apoyando a #PRESUPUESTO2020YA @marioponcesv 
@AsambleaSV https://t.co/0FW41GJ9ve"
"7","#PRESUPUESTO2020YA 

@FMLNoficial @AsambleaSV @ARENAfraccion @ARENAOFICIAL @gpfmln 

O 

#87YA https://t.co/80MVdHE2zP"
"8","@marioponcesv @nayibbukele @PCN_Oficial Aprueben el 
#Presupuesto2020YA

También a los veteranos de guerra les niegan sus derechos del bienestar como pueblo que son. @gpfmln @FMLNoficial @ARENAfraccion @ARENAOFICIAL"
"9","@juanjmartel @nayibbukele @ARENAOFICIAL @FMLNoficial @AsambleaSV @9TVLegislativa Pues mas luego se tendrán que sacar de sus puestos para que otros que sí trabajen para el pueblo sea reemplazado. 

Aprueban el #presupuesto2020YA 

O 

#87YA"
"10","@MarceloLarin1 Excelente Marcelo acá pendiente de ustedes en YouTube y en Twitter, saludos desde Australia <U+0001F1E6><U+0001F1FA> apoyándolos con todo cariño por nuestra gente. <U+0001F44A><U+0001F3FC><U+0001F1F8><U+0001F1FB>

#PRESUPUESTO2020YA @ARENAOFICIAL @AsambleaSV @FMLNoficial"
